,title,subtitle,location_x,currency,price,description,other_details,bed,bath,toilet,area,prop_type,location_y,match,pricerange
30794,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bed room flat,141 Ojo Egbede road Sabo Oniba Ojo LagosAjangbadi Ojo Lagos,naira,250000,3 bed room flat, FOR RENT: 3 bed room flat in a three storey building near school bus stop for rent. Jas.. Read more ,3,3,2,Ojo,Flat,141 Ojo Egbede road Sabo Oniba Ojo LagosAjangbadi Ojo Lagos,Ojo,Less than 500k
30802,3 BEDROOM FLAT / APARTMENT FOR RENT,"Executive 3 Bedroom Apartment In An Estate Off Iju Road, Ogba ",Iju roadOgba Lagos,naira,900000,"Executive 3 Bedroom Apartment In An Estate Off Iju Road, Ogba "," FOR RENT: Executive 3 bedroom an an estate off iju road, tiled all round , prepaid me.. Read more ",3,,,roadOgba,Flat,Iju roadOgba Lagos,Iju Ishaga,501k-1M
30807,3 BEDROOM FLAT / APARTMENT FOR RENT,newly built 3 bedroom flat with pop kitchen cabinets wardrobes water heater and interlock compound ,Ajao Estate Ajao Estate Isolo Lagos,naira,1200000,newly built 3 bedroom flat with pop kitchen cabinets wardrobes water heater and interlock compound , FOR RENT: it is lovely built Spacious 3 bedroom flat with pop wardrobe kitchen cabinets i.. Read more ,3,3,4,Isolo,Flat,Ajao Estate Ajao Estate Isolo Lagos,Ajao Estate Isolo,1.1M-2M
30815,3 BEDROOM FLAT / APARTMENT FOR RENT,Serviced an tastefully finished 3 bedrooms flat with a Bq,Alpha beachLekki Lagos,naira,1800000,Serviced an tastefully finished 3 bedrooms flat with a Bq, FOR RENT: Serviced and tastefully finished 3 bedroom en-suite flat with a room boys quarte.. Read more ,3,3,4,beachLekki,Flat,Alpha beachLekki Lagos,Lekki,1.1M-2M
30816,3 BEDROOM FLAT / APARTMENT FOR RENT,Neatly built 3 bedrooms flat,Osapa London Lekki Lagos,naira,1850000,Neatly built 3 bedrooms flat, FOR RENT: Neatly built 3bedroom flat to let Rent 1.850 Caution 150k Maintenance 180k A.. Read more ,3,3,4,Lekki,Flat,Osapa London Lekki Lagos,Osapa London Lekki,1.1M-2M
30818,3 BEDROOM FLAT / APARTMENT FOR RENT,Fantastic Three bedrooms flat,Lekki Phase 1 Lekki Lagos,naira,2500000,Fantastic Three bedrooms flat, FOR RENT: Fantastic 3bedroom flat Rent 2.5m Agency 10% Legal. 5% Caution 100k lekki-p.. Read more ,3,3,4,Lekki,Flat,Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
30820,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Renovated 3bedroom flat,Badore Ajah Lagos,naira,600000,Newly Renovated 3bedroom flat, FOR RENT: Newly renovated 3bedroom apartment.. Read more ,3,3,3,Ajah,Flat,Badore Ajah Lagos,Badore Ajah,501k-1M
30826,3 BEDROOM FLAT / APARTMENT FOR RENT,2 Units of 3 Bedroom Flat for Rent in Lekki Phase 1,Lekki Phase 1 Lekki Lagos,naira,2500000,2 Units of 3 Bedroom Flat for Rent in Lekki Phase 1, FOR RENT: 2 Units of 3 Bedroom Flat are now available for Rent in Lekki Phase 1 with Fe.. Read more ,3,3,4,Lekki,Flat,Lekki Phase 1 Lekki Lagos,Phase 1 Lekki,2.1M-5M
30832,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Renovated 3bedroom flat,Ado and environsAdo Ajah Lagos,naira,700000,Newly Renovated 3bedroom flat, FOR RENT: Newly renovated 3bedroom flat .. Read more ,3,3,3,Ajah,Flat,Ado and environsAdo Ajah Lagos,Ado Ajah,501k-1M
30834,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Renovated 3bedroom flat,Ado Ajah Lagos,naira,700000,Newly Renovated 3bedroom flat, FOR RENT: Newly Renovated 3 Bedroom flat.. Read more ,3,3,3,Ajah,Flat,Ado Ajah Lagos,Ado Ajah,501k-1M
30840,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedrooms Flat and 1 Room Servant Quarter,Prime Water EstateIkate Lekki Lagos,naira,3000000,3 Bedrooms Flat and 1 Room Servant Quarter, FOR RENT: FEATURES: - All Bedrooms En suite with Water Heaters - Fully Fitted Kitchen with.. Read more ,3,3,3,Lekki,Flat,Prime Water EstateIkate Lekki Lagos,Ikate Lekki,2.1M-5M
30849,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bedroom flat,"Awuse Estate, Opebi, Ikeja, LagosOpebi Ikeja Lagos",naira,1800000,Spacious 3 Bedroom flat," FOR RENT: 3 bedroom Shared Apartment Flat / Apartment for rent Awuse Estate, Opebi, Ikeja,.. Read more ",3,3,4,Ikeja,Flat,"Awuse Estate, Opebi, Ikeja, LagosOpebi Ikeja Lagos",Opebi Ikeja,1.1M-2M
30852,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 bedrooms flat,Ikate Lekki Lagos,naira,2000000,Lovely 3 bedrooms flat, FOR RENT: Lovely 3 bedroom en-suite flat for rent at Ikate Rent 2m Agency 10% Legal .. Read more ,3,3,4,Lekki,Flat,Ikate Lekki Lagos,Ikate Lekki,1.1M-2M
30854,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly 3bedroom built in Ado and Environs,Ado and environsAdo Ajah Lagos,naira,700000,Newly 3bedroom built in Ado and Environs," FOR RENT: Newly built 3 bedroom flat in a good estate with 2 toilets and baths, big kitche.. Read more ",3,3,3,Ajah,Flat,Ado and environsAdo Ajah Lagos,Ado Ajah,501k-1M
30859,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedrooms,Safe court estateLekki Lagos,naira,3000000,3 bedrooms, FOR RENT: 3 bedrooms flat for rent at SAFE COURT ESTATE Lekki - Lagos Rent: N3 Millio.. Read more ,3,,,estateLekki,Flat,Safe court estateLekki Lagos,Lekki,2.1M-5M
30863,3 BEDROOM FLAT / APARTMENT FOR RENT,"Very spacious, Clean and neat vacant 3 bedroom flat, all rooms ensuite with guest toilet, all round tiles, pop ceiling, fitted wardrobes and kitchen cabinets, upstairs. ",Opic Estate Isheri NorthIsheri North Ojodu Lagos,naira,750000,"Very spacious, Clean and neat vacant 3 bedroom flat, all rooms ensuite with guest toilet, all round tiles, pop ceiling, fitted wardrobes and kitchen cabinets, upstairs. "," FOR RENT: Very spacious Clean and neat vacant 3 bedroom flat, all rooms ensuite with guest.. Read more ",3,3,4,Ojodu,Flat,Opic Estate Isheri NorthIsheri North Ojodu Lagos,OPIC Ojodu,501k-1M
30864,3 BEDROOM FLAT / APARTMENT FOR RENT,Fantastic 3 bedrooms flat,Osapa London Lekki Lagos,naira,2000000,Fantastic 3 bedrooms flat, FOR RENT: Fabulous 3bedroom flat @ osapa london Rent. 2m Caution fee. 100k Legal 10% .. Read more ,3,3,4,Lekki,Flat,Osapa London Lekki Lagos,Osapa London Lekki,1.1M-2M
30869,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Flats Tastefully Finished,Millenium EstateMillenuim Ups Gbagada Lagos,naira,2500000,Luxury 3 Bedroom Flats Tastefully Finished, FOR RENT: Newly built Contemporary 3 bedroom flats. With expanse space -All bedroom ensu.. Read more ,3,3,4,Gbagada,Flat,Millenium EstateMillenuim Ups Gbagada Lagos,Gbagada,2.1M-5M
30876,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3bed room duplex,Todake EstateIfako Gbagada Gbagada Lagos,naira,1500090,Spacious 3bed room duplex," FOR RENT: *Fresh* Decent spacious 3 bedrooms duplex ensuite, 2 to share compound @ T.. Read more ",3,3,4,Gbagada,Flat,Todake EstateIfako Gbagada Gbagada Lagos,Gbagada,1.1M-2M
30882,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat en-suite ,Ogudu Gra Ogudu Lagos,naira,1900000,3 bedroom flat en-suite , FOR RENT: 3 bedroom Flat / Apartment for rent Ogudu GRA Ogudu Lagos.. Read more ,3,2,3,Ogudu,Flat,Ogudu Gra Ogudu Lagos,GRA Ogudu,1.1M-2M
30894,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3 Bed room apartment in Ago Palace Way,Ago Palace Okota Lagos,naira,650000,Spacious 3 Bed room apartment in Ago Palace Way," FOR RENT: A spacious 3-bed room apartment is available for rent in Ago Palace Way, Isolo, .. Read more ",3,2,2,Okota,Flat,Ago Palace Okota Lagos,Ago Palace Okota,501k-1M
30895,3 BEDROOM FLAT / APARTMENT FOR RENT,"Well finished 3 bedroom flat availalbe for let/lease at U3 Estate, Marwa.","Dolo Oyenkan. U3 Estate, Marwa, Lekki Lekki Phase 1 Lekki Lagos",naira,2800000,"Well finished 3 bedroom flat availalbe for let/lease at U3 Estate, Marwa."," FOR RENT: Well finished 3 bedroom flat availalbe for let/lease at U3 Estate, Marwa... Read more ",3,4,4,Lekki,Flat,"Dolo Oyenkan. U3 Estate, Marwa, Lekki Lekki Phase 1 Lekki Lagos",Phase 1 Lekki,2.1M-5M
30900,3 BEDROOM FLAT / APARTMENT FOR RENT,Extra large 3bed room flat ,HyOnipanu Shomolu Lagos,naira,1500000,Extra large 3bed room flat ," FOR RENT: Tastefully finished , very spacious all Rooms En-suite 3 Bedroom Flat with guest.. Read more ",3,3,4,Shomolu,Flat,HyOnipanu Shomolu Lagos,Onipanu Shomolu,1.1M-2M
30902,3 BEDROOM FLAT / APARTMENT FOR RENT,Standard 3bedroom duplex in a serene environment ,Magodo Gra Phase 2 Kosofe Ikosi Lagos,naira,2500000,Standard 3bedroom duplex in a serene environment ," FOR RENT: Lovely 3bedroom duplex in a serene environment,all tiled,tarred road, spacious .. Read more ",3,3,4,Ikosi,Flat,Magodo Gra Phase 2 Kosofe Ikosi Lagos,Magodo Phase 2,2.1M-5M
30905,3 BEDROOM FLAT / APARTMENT FOR RENT,Nicely 3bedroom flat in a serene environment ,Omole Phase 2 Ojodu Lagos,naira,1300000,Nicely 3bedroom flat in a serene environment ," FOR RENT: Lovely 3bedroom flat in a serene environment,all tiled,tarred road, spacious kit.. Read more ",3,3,4,Ojodu,Flat,Omole Phase 2 Ojodu Lagos,Lekki Phase 2,1.1M-2M
30908,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3bedroom flat ,Otedola Omole Phase 2 Ojodu Lagos,naira,1500000,Lovely 3bedroom flat ," FOR RENT: Lovely 3bedroom flat in a serene environment ,all tiled,tarred road,all room ens.. Read more ",3,3,4,Ojodu,Flat,Otedola Omole Phase 2 Ojodu Lagos,Lekki Phase 2,1.1M-2M
30909,3 BEDROOM FLAT / APARTMENT FOR RENT,Standard 3 bedroom flat in Ago palace way ,Isolo Lagos,naira,800000,Standard 3 bedroom flat in Ago palace way , FOR RENT: Standard 3 bedroom flat located in Ago palace way. Its located in a good environ.. Read more ,3,2,4,Isolo,Flat,Isolo Lagos,Isolo,501k-1M
30911,3 BEDROOM FLAT / APARTMENT FOR RENT,Beautiful 3bedroom flat in a serene environment ,Gateway zone Magodo Gra Phase 1 Ojodu Lagos,naira,1500000,Beautiful 3bedroom flat in a serene environment ," FOR RENT: Lovely 3bedroom flat in a serene environment,all tiled,tarred road, spacious kit.. Read more ",3,3,4,Ojodu,Flat,Gateway zone Magodo Gra Phase 1 Ojodu Lagos,Magodo Phase 1,1.1M-2M
30920,3 BEDROOM FLAT / APARTMENT FOR RENT,Spacious 3bedroom flat located in Ago palace way,Isolo Lagos,naira,800000,Spacious 3bedroom flat located in Ago palace way, FOR RENT: Spacious 3bedroom flat located in Ago palace way. 20hrs power supply. Contact 0.. Read more ,3,2,3,Isolo,Flat,Isolo Lagos,Isolo,501k-1M
30924,3 BEDROOM FLAT / APARTMENT FOR RENT,"3 Bedroom Flat @ Chris Otulana, U3 Estate Marwa, Lekki Phase1","Chris Otulana street, U3 Estate Marwa, Lekki Phase1Lekki Phase 1 Lekki Lagos",naira,3000000,"3 Bedroom Flat @ Chris Otulana, U3 Estate Marwa, Lekki Phase1"," FOR RENT: 3 Bedroom Flat @ Chis Otulana, U3 Estate Marwa, Lekki Phase1.. Read more ",3,,,Lekki,Flat,"Chris Otulana street, U3 Estate Marwa, Lekki Phase1Lekki Phase 1 Lekki Lagos",Phase 1 Lekki,2.1M-5M
30926,3 BEDROOM FLAT / APARTMENT FOR RENT,New. 3bedrooon flat ready for rent,Badore Ajah Lagos,naira,1000000,New. 3bedrooon flat ready for rent, FOR RENT: Newly build 3bedrdoom flat all room well finishing ready for rent Location bad.. Read more ,3,,,Ajah,Flat,Badore Ajah Lagos,Badore Ajah,501k-1M
30941,3 BEDROOM FLAT / APARTMENT FOR RENT,Executive 3bed room flat surulere,HuSurulere Lagos,naira,2000000,Executive 3bed room flat surulere," FOR RENT: *To let...... 3Bedroom duplex* Just Out.. Executive, Marvelous, Beautiful.. Read more ",3,3,4,HuSurulere,Flat,HuSurulere Lagos,Surulere,1.1M-2M
30942,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 3 bedroom Flat For Rent at Egbeda.,Unity EstateEgbeda Alimosho Lagos,naira,650000,Newly Built 3 bedroom Flat For Rent at Egbeda.," FOR RENT: Newly Built 3 bedroom Flat For Rent at Egbeda All rooms ensuite, Well furnished.. Read more ",3,3,3,Alimosho,Flat,Unity EstateEgbeda Alimosho Lagos,Egbeda,501k-1M
30943,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly Built 3bedroom Flat For Rent at Egbeda,Unity EstateEgbeda Alimosho Lagos,naira,650000,Newly Built 3bedroom Flat For Rent at Egbeda," FOR RENT: Newly Built 3 bedroom Flat For Rent at Egbeda All rooms ensuite, Well furnished.. Read more ",3,3,3,Alimosho,Flat,Unity EstateEgbeda Alimosho Lagos,Egbeda,501k-1M
30959,3 BEDROOM FLAT / APARTMENT FOR RENT,"3bedroom flat with 2toilets and 2baths. A Room En-suite, Tiled Living room, Borehole",Akoka Yaba Lagos,naira,700000,"3bedroom flat with 2toilets and 2baths. A Room En-suite, Tiled Living room, Borehole"," FOR RENT: To Let: 3bedroom flat with 2toilets and 2baths. A Room En-suite, Tiled Living .. Read more ",3,2,2,Yaba,Flat,Akoka Yaba Lagos,Akoka Yaba,501k-1M
30960,3 BEDROOM FLAT / APARTMENT FOR RENT,"3 Bedroom En-suite With Guest Toilet, Fitted Kitchen Cabinets, Wardrobe, Spacious compound 1.5m",Onike Yaba Lagos,naira,1500000,"3 Bedroom En-suite With Guest Toilet, Fitted Kitchen Cabinets, Wardrobe, Spacious compound 1.5m"," FOR RENT: *Sharp Letting in Onike Yaba* 3 Bedroom En-suite With Guest Toilet, Fitted Ki.. Read more ",3,3,4,Yaba,Flat,Onike Yaba Lagos,Onike Yaba,1.1M-2M
30961,3 BEDROOM FLAT / APARTMENT FOR RENT,Decent 3 bedroom flat,AnthonyAnthony Village Maryland Lagos,naira,1400000,Decent 3 bedroom flat, FOR RENT: Lovely.. Read more ,3,2,2,Maryland,Flat,AnthonyAnthony Village Maryland Lagos,Anthony Village,1.1M-2M
30962,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3 Bedroom Flat with a Room BQ in A Serene Neighborhood,Along the RoadBourdillon Ikoyi Lagos,naira,8000000,Luxury 3 Bedroom Flat with a Room BQ in A Serene Neighborhood, FOR RENT: 3 bedroom Flat / Apartment for rent Along the Road Bourdillon Ikoyi Lagos.. Read more ,3,4,4,Ikoyi,Flat,Along the RoadBourdillon Ikoyi Lagos,Ikoyi,Above 5M
30965,3 BEDROOM FLAT / APARTMENT FOR RENT, An executive standard & spacious onwer standard 3bedroom flat behind a duplex,Oworonshoki Gbagada Lagos,naira,1000000, An executive standard & spacious onwer standard 3bedroom flat behind a duplex, FOR RENT: *Just now!!!* *An executive standard & spacious onwer standard 3bedroom flat .. Read more ,3,3,4,Gbagada,Flat,Oworonshoki Gbagada Lagos,Oworonshoki,501k-1M
30966,3 BEDROOM FLAT / APARTMENT FOR RENT,Nice 3bd flat @ oke alo all ensuite 1.5m,Oke aloMillenuim Ups Gbagada Lagos,naira,1500000,Nice 3bd flat @ oke alo all ensuite 1.5m, FOR RENT: Nice 3bd flat @ oke alo all ensuite 1.5m.. Read more ,3,3,4,Gbagada,Flat,Oke aloMillenuim Ups Gbagada Lagos,Gbagada,1.1M-2M
30967,3 BEDROOM FLAT / APARTMENT FOR RENT,"A Spacious 3bd flat @ Bariga, Lagos, with 2toilets and bath, in a block of 4flats",Bariga Shomolu Lagos,naira,500000,"A Spacious 3bd flat @ Bariga, Lagos, with 2toilets and bath, in a block of 4flats"," FOR RENT: A Spacious 3bd flat @ Bariga, Lagos, with 2toilets and bath, in a block of 4flat.. Read more ",3,2,2,Shomolu,Flat,Bariga Shomolu Lagos,Bariga Shomolu,Less than 500k
30968,3 BEDROOM FLAT / APARTMENT FOR RENT,3Bedrood flat at Awofodu str off Pedro Rd very spacious and fence round with parking space 2t 2b,Awofodu str Off Pedro roadShomolu Lagos,naira,700000,3Bedrood flat at Awofodu str off Pedro Rd very spacious and fence round with parking space 2t 2b, FOR RENT: 3Bedrood flat at Awofodu str off Pedro Rd very spacious and fence round with par.. Read more ,3,2,2,roadShomolu,Flat,Awofodu str Off Pedro roadShomolu Lagos,Pedro Shomolu,501k-1M
30969,3 BEDROOM FLAT / APARTMENT FOR RENT,"*Fresh Gbagada Letting:* Semi Direct Very Decent 3brm Flat with 3t, 3b, 2 rooms are ensuite and 1 room share with visitors, all round tiles",Gbagada MobilGbagada Lagos,naira,900000,"*Fresh Gbagada Letting:* Semi Direct Very Decent 3brm Flat with 3t, 3b, 2 rooms are ensuite and 1 room share with visitors, all round tiles"," FOR RENT: *Fresh Gbagada Letting:* Semi Direct Very Decent 3brm Flat with 3t, 3b, 2 ro.. Read more ",3,,,MobilGbagada,Flat,Gbagada MobilGbagada Lagos,Gbagada,501k-1M
30973,3 BEDROOM FLAT / APARTMENT FOR RENT,3 BEDROOM FLAT,Joe StreetIre Akari Isolo Lagos,naira,1000000,3 BEDROOM FLAT," FOR RENT: Type : 3 Bedroom Flat Location : Ire Akari Estate , Isolo Toilet : 3 Bathroom.. Read more ",3,2,3,Isolo,Flat,Joe StreetIre Akari Isolo Lagos,Ire Akari Isolo,501k-1M
30976,3 BEDROOM FLAT / APARTMENT FOR RENT,Luxury 3bedroom flat with a room BQ at Banana Island,Banana Island Ikoyi Lagos,naira,15000000,Luxury 3bedroom flat with a room BQ at Banana Island, FOR RENT: It is well furnished 3 Bedroom flat with a room BQ in a serene estate. Compounds.. Read more ,3,3,3,Ikoyi,Flat,Banana Island Ikoyi Lagos,Banana Island Ikoyi,Above 5M
30979,3 BEDROOM FLAT / APARTMENT FOR RENT,"Spacious 3 bedrooms up n ground flats all rooms ensuite with guest toilet, water heater, kitchen cabinets",SawmillIfako Gbagada Gbagada Lagos,naira,1200000,"Spacious 3 bedrooms up n ground flats all rooms ensuite with guest toilet, water heater, kitchen cabinets", FOR RENT: *Just now* Spacious 3 bedrooms up n ground flats all rooms ensuite with gues.. Read more ,3,3,4,Gbagada,Flat,SawmillIfako Gbagada Gbagada Lagos,Ifako Gbagada,1.1M-2M
30980,3 BEDROOM FLAT / APARTMENT FOR RENT,"*JUST OUT* *Executive 3bedroom flat* @ Ogudu Ori oke, Unity Estate.",Ogudu oriokeOgudu Orike Ogudu Lagos,naira,1200000,"*JUST OUT* *Executive 3bedroom flat* @ Ogudu Ori oke, Unity Estate."," FOR RENT: *JUST OUT* *Executive 3bedroom flat* @ Ogudu Ori oke, Unity Estate. *N1.2.. Read more ",3,3,4,Ogudu,Flat,Ogudu oriokeOgudu Orike Ogudu Lagos,Orike Ogudu,1.1M-2M
30983,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely and well renovated 3bedroom apartment ,Behind YabatechYaba Lagos,naira,1200000,Lovely and well renovated 3bedroom apartment ," FOR RENT: A Lovely and well renovated 3bedroom apartment behind Yabatech, Yaba, Lagos, wit.. Read more ",3,2,3,YabatechYaba,Flat,Behind YabatechYaba Lagos,Yaba,1.1M-2M
30984,3 BEDROOM FLAT / APARTMENT FOR RENT,"Newly built and spacious 3bedroom flat all rooms ensuite, adequate electricity 1.5m per annum",Off Herbert marcaulay way Alagomeji YabaAlagomeji Yaba Lagos,naira,1500000,"Newly built and spacious 3bedroom flat all rooms ensuite, adequate electricity 1.5m per annum"," FOR RENT: Newly built and spacious 3bedroom flat all rooms ensuite, adequate electricity, .. Read more ",3,3,4,Yaba,Flat,Off Herbert marcaulay way Alagomeji YabaAlagomeji Yaba Lagos,Alagomeji Yaba,1.1M-2M
30988,3 BEDROOM FLAT / APARTMENT FOR RENT,6 nos of brand new 3bd @ oke alo gbagada 2.5m 1yr,Millenuim Ups Gbagada Lagos,naira,2500000,6 nos of brand new 3bd @ oke alo gbagada 2.5m 1yr, FOR RENT: 6 nos of brand new 3bd @ oke alo gbagada 2.5m 1yr.. Read more ,3,3,4,Gbagada,Flat,Millenuim Ups Gbagada Lagos,Gbagada,2.1M-5M
30989,3 BEDROOM FLAT / APARTMENT FOR RENT,Brand new & Executive 3 bedroom flat ,..Adekunle Yaba Lagos,naira,2000000,Brand new & Executive 3 bedroom flat ," FOR RENT: Brand new & Executive 3bedroom flat all rooms ensuite with guest toilet, park up.. Read more ",3,3,4,Yaba,Flat,..Adekunle Yaba Lagos,Adekunle Yaba,1.1M-2M
30994,3 BEDROOM FLAT / APARTMENT FOR RENT,Newly built service 3bed room flat at surulere,HuLawanson Surulere Lagos,naira,1300000,Newly built service 3bed room flat at surulere," FOR RENT: FOR LEASE: Newly built 3 bedroom serviced flat with all room ensuit, visitors to.. Read more ",3,3,4,Surulere,Flat,HuLawanson Surulere Lagos,Surulere,1.1M-2M
31005,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ," Magodo Gateway,Magodo Gra Phase 1 Ojodu Lagos",naira,1700000,3 bedroom flat , FOR RENT: Brand new 3bedroom flats for rent in magodo gateway GRA with service optional in.. Read more ,3,3,4,Ojodu,Flat," Magodo Gateway,Magodo Gra Phase 1 Ojodu Lagos",Magodo Phase 1,1.1M-2M
31007,3 BEDROOM FLAT / APARTMENT FOR RENT,Tastefully Finished 3bedroom with 1 BQ,Off New market Oniru Victoria Island Lagos,naira,3500000,Tastefully Finished 3bedroom with 1 BQ, FOR RENT: 3 bedroom Flat / Apartment for rent Off New market ONIRU Victoria Island Lagos.. Read more ,3,3,4,Island,Flat,Off New market Oniru Victoria Island Lagos,Victoria Island,2.1M-5M
31012,3 BEDROOM FLAT / APARTMENT FOR RENT,Lovely 3 bedroom flat apartment for rent with BQ,ParkviewParkview Estate Ikoyi Lagos,naira,5500000,Lovely 3 bedroom flat apartment for rent with BQ, FOR RENT: A tastefully built apartment available in the highly sought after Parkview estat.. Read more ,3,3,4,Ikoyi,Flat,ParkviewParkview Estate Ikoyi Lagos,Parkview Ikoyi,Above 5M
31019,3 BEDROOM FLAT / APARTMENT FOR RENT,6 Units of 3 Bedroom Flat For Rent in Ojodu 28MAR12,Ojodu Lagos,naira,1500000,6 Units of 3 Bedroom Flat For Rent in Ojodu 28MAR12, FOR RENT: Almost completed with prepaid meter. beautiful and well tiled it has a spaciou.. Read more ,3,3,3,Ojodu,Flat,Ojodu Lagos,Ojodu,1.1M-2M
31026,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat For Rent In Ipaja 15APR39,Ipaja Lagos,naira,400000,3 Bedroom Flat For Rent In Ipaja 15APR39, FOR RENT: A decent 3 bedroom flat available for rent in Ipaja The house is located in a c.. Read more ,3,3,3,Ipaja,Flat,Ipaja Lagos,Ipaja,Less than 500k
31027,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat For Rent In Ipaja 15APR13,Ipaja Lagos,naira,450000,3 Bedroom Flat For Rent In Ipaja 15APR13, FOR RENT: A well finished 3 bedroom apartment with pop finishes painted in good location .. Read more ,3,3,3,Ipaja,Flat,Ipaja Lagos,Ipaja,Less than 500k
31030,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat for rent in Agege 17APR42,Agege Lagos,naira,800000,3 bedroom flat for rent in Agege 17APR42, FOR RENT: A newly built 3 bedroom flat Location: agege Rent:#800k Service charge: Po.. Read more ,3,3,3,Agege,Flat,Agege Lagos,Agege,501k-1M
31031,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat For Rent In Ajah 31MAR46,Ajah Lagos,naira,1000000,3 Bedroom Flat For Rent In Ajah 31MAR46, FOR RENT: 3 Bedroom Flat all ensuite with visitor's toilet in Ajah. 1m (rent ) Agency -1.. Read more ,3,3,3,Ajah,Flat,Ajah Lagos,Ajah,501k-1M
31033,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat,"Shangisha, Off Cmd RoadMagodo Kosofe Ikosi Lagos",naira,1300000,3 bedroom flat," FOR RENT: To let at Shangisha, off CMD road. Very decent and neat 3bedroom flat. 2 in the.. Read more ",3,3,4,Ikosi,Flat,"Shangisha, Off Cmd RoadMagodo Kosofe Ikosi Lagos",Magodo,1.1M-2M
31039,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat,pedroPalmgroove Shomolu Lagos,naira,700000,3 bedroom flat, FOR RENT: Spacious 3 bedroom apartment available at awofodu. Very close to palmgrove and g.. Read more ,3,0,0,Shomolu,Flat,pedroPalmgroove Shomolu Lagos,Palmgroove Shomolu,501k-1M
31042,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ,Jimoh bajulayeIfako Gbagada Gbagada Lagos,naira,1200000,3 bedroom flat , FOR RENT: 3bedroom flat at ifako gbagada big size room just three tenant in the compound f.. Read more ,3,3,3,Gbagada,Flat,Jimoh bajulayeIfako Gbagada Gbagada Lagos,Ifako Gbagada,1.1M-2M
31045,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat,..Badore Ajah Lagos,naira,1200000,3 bedroom flat, FOR RENT: This 3 bedrooms is new and very much good looking .. Read more ,3,0,0,Ajah,Flat,..Badore Ajah Lagos,Badore Ajah,1.1M-2M
31047,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ,"Ologunfe, Awoyaya Ajah Lagos",naira,650000,3 bedroom flat , FOR RENT: Newly built 3 bedroom flat in a good location of awoyaya with good access road s.. Read more ,3,3,4,Ajah,Flat,"Ologunfe, Awoyaya Ajah Lagos",Awoyaya Ajah,501k-1M
31049,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat For Rent In Egbeda 14APR7,Egbeda Alimosho Lagos,naira,800000,3 Bedroom Flat For Rent In Egbeda 14APR7," FOR RENT: Executive 3 bedroom flat at Egbeda all round pop, all round tiles, water heater,.. Read more ",3,3,3,Alimosho,Flat,Egbeda Alimosho Lagos,Egbeda,501k-1M
31051,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ," Behind Cooplag Garden, On Orchid Road Ikota Lekki Lagos",naira,800000,3 bedroom flat ," FOR RENT: Clean 3 Bedroom Flat for Rent, Behind Cooplag Garden .. Read more ",3,3,3,Lekki,Flat," Behind Cooplag Garden, On Orchid Road Ikota Lekki Lagos",Ikota Lekki,501k-1M
31055,3 BEDROOM FLAT / APARTMENT FOR RENT,3 bedroom flat ,omiata bus stopIfako Agege Lagos,naira,350000,3 bedroom flat ," FOR RENT: Clean and spacious 3bedroom flat,terrazo flooor,upper floor and fown floor avail.. Read more ",3,2,2,Agege,Flat,omiata bus stopIfako Agege Lagos,Agege,Less than 500k
31060,3 BEDROOM FLAT / APARTMENT FOR RENT,3 Bedroom Flat For Rent In Ajah 30MAR28,Ajah Lagos,naira,1000000,3 Bedroom Flat For Rent In Ajah 30MAR28, FOR RENT: Decent 3 bedroom flat for rent in Ajah. Only 4 people in a compound .. Read more ,3,3,3,Ajah,Flat,Ajah Lagos,Ajah,501k-1M
